date,sunshine_hr,humidity_mean,temp_min,temp_mean,temp_max,temp_range
2007-10-27,10.685236111111111,21.875,17.7,27.479166666666668,35.3,17.599999999999998
2007-10-28,10.67696111111111,18.333333333333332,19.2,28.72083333333333,36.4,17.2
2007-10-29,10.484030555555556,17.458333333333332,20.7,28.77916666666667,35.8,15.099999999999998
2007-10-30,10.584775,13.458333333333334,18.7,27.429166666666664,35.3,16.599999999999998
2007-10-31,10.16014722222222,11.791666666666666,18.7,27.916666666666668,35.6,16.900000000000002
2007-11-01,9.487105555555557,13.375,21.1,28.9375,36.1,15.0
2007-11-02,10.334169444444443,13.208333333333334,19.2,28.475,36.7,17.500000000000004
2007-11-03,10.574425,17.916666666666668,19.4,27.975,35.5,16.1
2007-11-04,10.555797222222225,20.0,18.6,25.566666666666663,32.2,13.6
2007-11-05,10.537291666666668,17.166666666666668,17.3,24.22083333333333,30.8,13.5
2007-11-06,10.518927777777778,21.625,17.4,23.045833333333334,28.8,11.400000000000002
2007-11-07,10.500730555555554,20.625,15.3,23.0,30.2,14.9
2007-11-08,10.482722222222224,21.916666666666668,15.9,23.4,30.4,14.499999999999998
2007-11-09,10.464919444444444,21.5,18.7,25.275,32.0,13.3
2007-11-10,10.44735,17.666666666666668,20.2,26.4125,33.0,12.8
2007-11-11,10.43003611111111,17.458333333333332,18.4,24.808333333333337,31.1,12.700000000000005
2007-11-12,10.412997222222222,14.291666666666666,12.7,21.7625,29.3,16.6
2007-11-13,9.872969444444443,14.583333333333334,14.1,21.945833333333336,29.4,15.3
2007-11-14,10.37985,16.166666666666668,11.4,20.8,28.6,17.200000000000003
2007-11-15,10.36378888888889,16.291666666666668,11.0,21.304166666666667,29.5,18.5
2007-11-16,10.348102777777775,14.791666666666666,14.2,23.09166666666667,31.1,16.900000000000002
2007-11-17,10.332819444444445,19.291666666666668,14.3,23.241666666666664,31.3,17.0
2007-11-18,10.317936111111113,18.541666666666668,13.5,21.53333333333333,28.8,15.3
2007-11-19,10.233419444444444,16.666666666666668,10.9,20.120833333333337,28.4,17.5
2007-11-20,10.196627777777778,15.708333333333334,11.3,21.158333333333335,30.2,18.9
2007-11-21,10.274716666666668,14.375,13.1,22.354166666666668,31.5,18.4
2007-11-22,10.24465,17.083333333333332,14.6,23.4875,31.4,16.799999999999997
2007-11-23,10.209122222222222,21.625,16.0,23.704166666666666,32.5,16.5
2007-11-24,10.14599722222222,19.875,14.7,23.579166666666666,33.0,18.3
2007-11-25,9.972327777777776,25.291666666666668,13.5,22.34583333333333,30.9,17.4
2007-11-26,10.136766666666666,30.625,12.6,19.804166666666667,26.7,14.1
2007-11-27,10.105219444444444,29.041666666666668,11.9,18.504166666666663,24.6,12.7
2007-11-28,9.820463888888888,26.416666666666668,12.2,17.220833333333335,21.800000000000008,9.400000000000002
2007-11-29,9.941797222222222,26.958333333333332,10.8,16.308333333333334,22.1,11.3
2007-11-30,9.91629722222222,27.458333333333332,7.6,15.383333333333333,23.1,15.500000000000002
2007-12-01,9.692741666666663,28.75,10.6,16.758333333333333,22.8,12.2
2007-12-02,9.917911111111112,39.083333333333336,10.9,16.25,21.7,10.8
2007-12-03,9.989933333333331,37.625,6.8,14.229166666666666,21.1,14.3
2007-12-04,9.966377777777778,37.958333333333336,7.0,14.575,21.9,14.9
2007-12-05,9.944236111111111,42.291666666666664,8.0,15.458333333333334,22.5,14.5
2007-12-06,9.945313888888888,43.14583333333333,7.2,16.579166666666666,24.3,17.1
2007-12-07,9.925433333333332,43.14583333333333,12.9,19.54583333333333,26.9,13.999999999999998
2007-12-08,9.92758888888889,40.75,12.6,19.8125,27.1,14.500000000000002
2007-12-09,9.910208333333332,33.041666666666664,11.6,19.854166666666668,28.0,16.4
2007-12-10,9.894475,25.833333333333332,10.8,19.579166666666666,27.5,16.7
2007-12-11,9.898958333333333,28.583333333333332,9.5,18.316666666666663,26.1,16.6
2007-12-12,9.90375277777778,31.333333333333332,10.4,18.508333333333333,26.0,15.6
2007-12-13,9.867777777777778,26.291666666666668,10.1,18.208333333333332,26.1,16.0
2007-12-14,9.897744444444443,26.666666666666668,8.9,16.566666666666666,23.7,14.8
2007-12-15,9.880077777777778,21.625,7.0,16.270833333333332,24.6,17.6
2007-12-16,9.692741666666663,20.875,10.3,17.970833333333335,24.7,14.4
2007-12-17,9.893788888888889,18.458333333333332,11.2,18.1125,25.4,14.2
2007-12-18,9.901116666666663,19.791666666666668,10.0,18.554166666666667,27.1,17.1
2007-12-19,9.908730555555556,14.25,11.1,20.208333333333332,29.5,18.4
2007-12-20,9.916605555555556,14.416666666666666,14.6,21.545833333333334,29.3,14.7
